通用规范字ID,字头,结构,部件,偏旁变体,部首,拼音与部件名称,笔画数,笔顺,笔顺提示
337,边,半包围,"力,辶",,辶,biān/bian,5,0000000000000000000053454,
338,孕,上下,"乃,子",,子,yùn,5,0000000000000000000053521,
339,发,半包围,"x,又",,又,fā/fà,5,0000000000000000000053544,
340,圣,上下,"又,土",,又,shèng,5,0000000000000000000054121,
341,对,左右,"又,寸",,又,duì,5,0000000000000000000054124,
342,台,上下,"厶,口",,厶,tái/tāi,5,0000000000000000000054251,
343,矛,独体,"予,丿",,矛,máo,5,0000000000000000000054523,
344,纠,左右,"纟,丩",,纟,jiū,5,0000000000000000000055152,
345,母,独体,"",,母,mǔ,5,0000000000000000000055414,第三笔是点，不是横。
346,幼,左右,"幺,力",,幺,yòu,5,0000000000000000000055453,
347,丝,上下,"纟,纟",,一,sī,5,0000000000000000000055551,
348,邦,左右,"丰,阝",,右阝,bāng,6,0000000000000000000111352,
349,式,半包围,"弋,工",,弋,shì,6,0000000000000000000112154,
350,迂,半包围,"于,辶",,辶,yū,6,0000000000000000000112454,
351,刑,左右,"开,刂",,刂,xíng,6,0000000000000000000113222,
352,戎,半包围,"戈,十",,戈,róng,6,0000000000000000000113534,
353,动,左右,"云,力",,力,dòng,6,0000000000000000000115453,
354,扛,左右,"扌,工",,扌,káng,6,0000000000000000000121121,
355,寺,上下,"土,寸",,土,sì,6,0000000000000000000121124,
356,吉,上下,"士,口",,士,jí,6,0000000000000000000121251,
357,扣,左右,"扌,口",,扌,kòu,6,0000000000000000000121251,
358,考,半包围,"耂,丂",,耂,kǎo,6,0000000000000000000121315,
359,托,左右,"扌,乇",,扌,tuō,6,0000000000000000000121315,
360,老,半包围,"耂,匕",,老,lǎo,6,0000000000000000000121335,里面的“匕”第一笔是撇，不是竖弯钩。
361,巩,左右,"工,凡",,工,gǒng,6,0000000000000000000121354,
362,圾,左右,"土,及",,土,jī,6,0000000000000000000121354,
363,执,左右,"扌,丸",,扌,zhí,6,0000000000000000000121354,第四笔是撇，不是横斜钩。
364,扩,左右,"扌,广",,扌,kuò,6,0000000000000000000121413,
365,扫,左右,"扌,彐",,扌,sǎo/sào,6,0000000000000000000121511,
366,地,左右,"土,也",,土,dì/de,6,0000000000000000000121525,
367,场,左右,"土,𠃓",,土,chǎng/cháng,6,0000000000000000000121533,
368,扬,左右,"扌,𠃓",,扌,yáng,6,0000000000000000000121533,
369,耳,独体,"",,耳,ěr,6,0000000000000000000122111,
370,芋,上下,"艹,于",,艹,yù,6,0000000000000000000122112,
371,共,上下,"龷,八",,八,gòng,6,0000000000000000000122134,
372,芒,上下,"艹,亡",,艹,máng,6,0000000000000000000122415,
373,亚,独体,"一,业",,一,yà,6,0000000000000000000122431,
374,芝,上下,"艹,之",,艹,zhī,6,0000000000000000000122454,
375,朽,左右,"木,丂",,木,xiǔ,6,0000000000000000000123415,
376,朴,左右,"木,卜",,木,pǔ/piáo/pō/pò,6,0000000000000000000123424,
377,机,左右,"木,几",,木,jī,6,0000000000000000000123435,
378,权,左右,"木,又",,木,quán,6,0000000000000000000123454,
379,过,半包围,"寸,辶",,辶,guò/guō/guo,6,0000000000000000000124454,
380,臣,半包围,"",,臣,chén,6,0000000000000000000125125,第二笔是竖，不是竖折。
381,吏,独体,"一,史",,一,lì,6,0000000000000000000125134,
